lad2,month,collisions,ksi_collisions,share_dark,share_wet,share_ksi_collisions
110,2020-01,21,4,0.5714285714285714,0.38095238095238093,0.19047619047619047
110,2020-02,20,4,0.35,0.6,0.2
110,2020-03,11,0,0.18181818181818182,0.5454545454545454,0.0
110,2020-04,6,0,0.0,0.0,0.0
110,2020-05,11,4,0.0,0.09090909090909091,0.36363636363636365
110,2020-06,13,1,0.07692307692307693,0.07692307692307693,0.07692307692307693
110,2020-07,12,4,0.25,0.16666666666666666,0.3333333333333333
110,2020-08,8,3,0.125,0.0,0.375
110,2020-09,20,3,0.2,0.1,0.15
110,2020-10,10,2,0.2,0.3,0.2
110,2020-11,19,6,0.3684210526315789,0.3157894736842105,0.3157894736842105
110,2020-12,16,6,0.5625,0.5625,0.375
112,2019-01,21,4,0.42857142857142855,0.42857142857142855,0.19047619047619047
112,2019-02,15,1,0.4666666666666667,0.2,0.06666666666666667
112,2019-03,19,3,0.10526315789473684,0.10526315789473684,0.15789473684210525
112,2019-04,16,2,0.0625,0.25,0.125
112,2019-05,30,9,0.06666666666666667,0.1,0.3
112,2019-06,20,2,0.05,0.35,0.1
112,2019-07,24,3,0.041666666666666664,0.16666666666666666,0.125
112,2019-08,17,5,0.058823529411764705,0.17647058823529413,0.29411764705882354
112,2019-09,24,5,0.3333333333333333,0.2916666666666667,0.20833333333333334
112,2019-10,30,3,0.3333333333333333,0.3333333333333333,0.1
112,2019-11,29,7,0.5172413793103449,0.4482758620689655,0.2413793103448276
112,2019-12,31,8,0.6451612903225806,0.6129032258064516,0.25806451612903225
112,2020-01,16,6,0.375,0.5625,0.375
112,2020-02,12,2,0.5833333333333334,0.5833333333333334,0.16666666666666666
112,2020-03,17,2,0.23529411764705882,0.29411764705882354,0.11764705882352941
112,2020-04,9,4,0.1111111111111111,0.0,0.4444444444444444
112,2020-05,14,4,0.0,0.0,0.2857142857142857
112,2020-06,12,3,0.25,0.4166666666666667,0.25
112,2020-07,12,1,0.16666666666666666,0.16666666666666666,0.08333333333333333
112,2020-08,16,1,0.0625,0.25,0.0625
112,2020-09,11,0,0.18181818181818182,0.2727272727272727,0.0
112,2020-10,15,4,0.4666666666666667,0.6,0.26666666666666666
112,2020-11,13,3,0.3076923076923077,0.38461538461538464,0.23076923076923078
112,2020-12,14,0,0.42857142857142855,0.7857142857142857,0.0
114,2019-01,13,3,0.3076923076923077,0.6923076923076923,0.23076923076923078
114,2019-02,22,7,0.45454545454545453,0.22727272727272727,0.3181818181818182
114,2019-03,17,4,0.5882352941176471,0.47058823529411764,0.23529411764705882
114,2019-04,23,8,0.17391304347826086,0.08695652173913043,0.34782608695652173
114,2019-05,30,8,0.13333333333333333,0.13333333333333333,0.26666666666666666
114,2019-06,37,8,0.05405405405405406,0.2972972972972973,0.21621621621621623
114,2019-07,23,4,0.13043478260869565,0.17391304347826086,0.17391304347826086
114,2019-08,19,5,0.15789473684210525,0.42105263157894735,0.2631578947368421
114,2019-09,32,8,0.1875,0.25,0.25
114,2019-10,34,14,0.2647058823529412,0.47058823529411764,0.4117647058823529
114,2019-11,25,6,0.52,0.44,0.24
114,2019-12,30,10,0.5666666666666667,0.5333333333333333,0.3333333333333333
114,2020-01,19,5,0.42105263157894735,0.5789473684210527,0.2631578947368421
114,2020-02,28,2,0.32142857142857145,0.39285714285714285,0.07142857142857142
114,2020-03,24,6,0.375,0.125,0.25
114,2020-04,6,1,0.0,0.0,0.16666666666666666
114,2020-05,18,5,0.1111111111111111,0.0,0.2777777777777778
114,2020-06,22,4,0.045454545454545456,0.3181818181818182,0.18181818181818182
114,2020-07,21,7,0.14285714285714285,0.3333333333333333,0.3333333333333333
114,2020-08,26,10,0.2692307692307692,0.19230769230769232,0.38461538461538464
114,2020-09,25,5,0.12,0.16,0.2
114,2020-10,11,0,0.5454545454545454,0.45454545454545453,0.0
114,2020-11,14,1,0.42857142857142855,0.5,0.07142857142857142
114,2020-12,16,6,0.375,0.875,0.375
12,2019-01,55,6,0.4727272727272727,0.2727272727272727,0.10909090909090909
12,2019-02,58,3,0.4482758620689655,0.1896551724137931,0.05172413793103448
12,2019-03,51,13,0.45098039215686275,0.23529411764705882,0.2549019607843137
12,2019-04,54,16,0.18518518518518517,0.18518518518518517,0.2962962962962963
12,2019-05,58,12,0.10344827586206896,0.10344827586206896,0.20689655172413793
12,2019-06,58,10,0.06896551724137931,0.27586206896551724,0.1724137931034483
12,2019-07,52,7,0.19230769230769232,0.11538461538461539,0.1346153846153846
12,2019-08,59,13,0.2711864406779661,0.1016949152542373,0.22033898305084745
12,2019-09,58,11,0.29310344827586204,0.1206896551724138,0.1896551724137931
12,2019-10,70,9,0.3,0.37142857142857144,0.12857142857142856
12,2019-11,82,6,0.5365853658536586,0.4634146341463415,0.07317073170731707
12,2019-12,50,6,0.4,0.46,0.12
12,2020-01,50,5,0.56,0.3,0.1
12,2020-02,34,6,0.3235294117647059,0.3235294117647059,0.17647058823529413
12,2020-03,37,6,0.2702702702702703,0.35135135135135137,0.16216216216216217
12,2020-04,22,3,0.045454545454545456,0.13636363636363635,0.13636363636363635
12,2020-05,29,5,0.10344827586206896,0.034482758620689655,0.1724137931034483
12,2020-06,47,4,0.1276595744680851,0.06382978723404255,0.0851063829787234
12,2020-07,48,6,0.125,0.125,0.125
12,2020-08,53,6,0.1320754716981132,0.16981132075471697,0.11320754716981132
12,2020-09,68,14,0.16176470588235295,0.10294117647058823,0.20588235294117646
12,2020-10,54,5,0.2777777777777778,0.37037037037037035,0.09259259259259259
12,2020-11,47,6,0.425531914893617,0.14893617021276595,0.1276595744680851
12,2020-12,55,4,0.5818181818181818,0.5272727272727272,0.07272727272727272
124,2019-01,16,3,0.3125,0.4375,0.1875
124,2019-02,20,6,0.45,0.25,0.3
124,2019-03,18,2,0.3333333333333333,0.3888888888888889,0.1111111111111111
124,2019-04,15,5,0.0,0.2,0.3333333333333333
124,2019-05,14,0,0.07142857142857142,0.14285714285714285,0.0
124,2019-06,10,2,0.1,0.3,0.2
124,2019-07,13,1,0.15384615384615385,0.15384615384615385,0.07692307692307693
